000272,망고 쇼트 케이크
000273,소금우유 뚱낭시에
000274,바질햄치즈 치아바타
000277,"배달비 4,400원"
000280,모리 팥빵
000281,배달료
000282,배달료
000283,달고나흑당 카페라떼
000288,흑임자라떼(HOT)
000255,오레오 케이크
000256,딸기 크레이프
000257,츄러스 뚱낭시에
000269,배달비100
000270,티라미수 롤
000278,미니크룽지
000279,빠다코코볼
000268,콩물라떼(ICE)
000299,밀크쉐이크
000300,초코쉐이크
000301,애플유자티(ICE)
000302,애플유자티(HOT)
000303,생강차(HOT)
000304,생강라떼(HOT)
000295,오레오스모어쿠키
000298,레터링 스티커
000317,찹쌀떡
000319,생크림카스테라
000320,크로크무슈
000322,버터소금빵
000323,갈릭바게트볼
000313,딸기레몬에이드(L)
000314,패션후르츠에이드(L)
000370,갈릭 바게트
000374,꼬깔곰돌초4
000375,토실곰돌초1
000376,(떡볶이)삶은계란
000369,누네띠네
000408,에스프레소 프라페
P00098,시나몬 추가
P00100,솔티드카라멜
000427,초코범벅
200663,디카페인 꿀 라떼
200703,단호박 샐러드
200704,불고기 또띠아
200706,에그잼샌드위치+아메리카노(ICE)
200707,크로아상 샌드위치+아메라카노(ICE)
200708,디카페인 아샷추
200709,쿠키앤크림 치즈 케이크
200710,순수 우유 케이크
200711,블랙포레스트 케이크
200713,티라미수 케이크
200714,갸또쇼콜라 케이크
200718,블루베리 베이글
200719,초코 머핀
200721,아이스 초콜릿 타르트
200722,아이스 바닐라빈 타르트
200725,[리터데이] 토피넛 카라멜 라떼 (ML)
200726,[리터데이] 토피넛 카라멜 프라페 (ML)
200727,생수
200728,[해피아워] 에그잼 샌드위치
200729,[해피아워] 단호박 샌드위치
200731,[해피아워] 크로아상 불고기 샌드위치
200732,[해피아워] 닭가슴살 샐러드
200738,[50%] 크로아상 불고기 샌드위치
200739,[50%] 단호박 샐러드
200741,레드 뱅쇼
200742,화이트 뱅쇼
200744,감자빵
200745,애플파이
200747,[리터데이] 초코 프라페 ML
500021,크랜베리치킨
500022,치킨텐더
500023,크로플
500024,플레인
500026,커스터드크림
500027,사과퐁당
500028,반미
500029,페퍼로니
500030,콘치즈
500031,소시지
500033,플레인
500034,레몬
500035,초코
500036,스콘
500037,고메버터
500038,초코칩
500039,애플시나몬
500040,무화과
500041,체리베리
500042,더블자바칩
500043,흑임자
500044,얼그레이
500045,약과
500046,[베이커리 할인] 2천원
500047,[베이커리 할인] 3천원
500048,[가맹점 행사] 1+1 납작복숭아요거스
500049,[가맹점 행사] 1+1 납작복숭아슬러피	
500050,[가맹점 행사] 1+1 납작복숭아에이드
500052,[가맹점 행사] 1+1 납작복숭아 밀크버블티(얼그레이)	
700001,[오픈행사] 아메리카노 ML
700002,[오픈행사] 복숭아숭숭 ML
700003,[50% 할인행사] 아메리카노
700008,[가맹점 행사] 1+1 복숭아숭숭
700010,[해피아워] 카페라떼
700011,[해피아워] 복숭아숭숭
700012,[해피아워] 시그니처 바닐라빈라떼
S000009,레트로커피
S000010,라떼달구나
S000011,콜드브루
S000012,콜드브루라떼
S000013,디카페인 콜드브루
S000014,디카페인 콜드브루라떼
S000015,콜드브루 바닐라 크림
S000050,체리팡팡
S000052,딸기라떼
S000048,복숭아숭숭
S000053,자몽에이드
S000054,레몬에이드
S000057,유자에이드
S000058,딸기주스
S000059,망고주스
S000061,홍시주스
S000062,자몽주스
S000063,사과주스
S000064,키위주스
S000065,토마토주스
S000066,수박주스
S000067,오렌지주스
S000070,토피라떼
S000077,슈스틱요구르트
S000090,티라미수와플
S000091,인절미와플
S000092,딸기와플
S000094,망고와플
S000095,복숭아와플
S000096,한판와플(플레인)
S000097,한판와플(초코)
S000098,한판와플(카라멜)
S000099,한판와플(인절미연유)
S000089,초코와플
S200131,생크림 카스테라
S200132,우유크림 쿠키슈
S200114,헤이즐넛시럽 추가(1펌프)
S200133,초코크림 쿠키슈
S200162,수박 슬러피
S200164,상어라서고래
S200175,고래라서상어 빙수
S200176,팥 페스츄리 붕어빵
S200177,피자 페스츄리 붕어빵
S200178,회오리 핫도그
S200304,요거트 마카롱
S200320,체리 히비스커스티
S200325,실버
S200327,캐치티니핑
S200328,캐치티니핑 보리차
S200329,캐치티니핑 딸기맛
S200330,캐치티니핑 사과맛
S200331,통약과 수제쿠키
S200337,딸기배스무디
S200338,더리터 시그니처 바닐라빈라떼
S200344,자색고구마 버블티
S200345,말차 버블티
S200346,우롱 버블티
S200347,얼그레이 버블티
S200348,자몽 허니 블랙티
S200349,레몬 진저티
S200350,유자 민트티
S200352,우롱 밀크티
S200364,블루베리 에이드
S200358,애플망고 요거스
S200362,오미자차
S200363,하이볼 에이드
S200368,포도 주스
S200369,감귤 주스
S200370,스윗베리즈
S200371,루이보스
S200373,리터샌드(카야크림)
S200374,더 쫀득한 고구마
S200375,빅도그(콘어니언)
S200452,무안 군고구마 프라페
S200454,오레오 스모어 쿠키
S200458,디카페인 시그니처 바닐라빈라떼
S200459,디카페인 카페라떼
S200460,디카페인 바닐라라떼
S200461,디카페인 헤이즐넛라떼
S200462,디카페인 카페모카
S200463,디카페인 카푸치노
S200464,디카페인 카라멜마끼아또
S200465,디카페인 돌체라떼
S200466,디카페인 코코넛라떼
S200446,피스타치오 초코라떼
S200468,디카페인 코코넛커피 프라페
S200539,아메리카노(ICE)
S200541,매콤떡볶이
S200546,분식세트 2
S200547,초코 미니 핫도그
S200550,납작복숭아 에이드
S200551,납작복숭아 밀크버블티(우롱)
S200552,납작복숭아 밀크버블티(얼그레이)
S200553,까톡젤리
S200555,까톡젤리 망고퓌레
S200556,까톡젤리 리치주스
S200557,러스크
S200568,에비앙
S200569,아이스크림
S200570,바닐라
S200572,망고
S200573,쫀득쿠키
S200574,쫀득쿠키 오레오딸기
S200575,쫀득쿠키 후르츠링
S200577,참깨꽈배기
S200578,통밀바게트
S200579,밀크바게트
S200587,딥치즈폼 아메리카노(SL)
S200591,몽블랑
S200592,고구마 몽블랑
S200593,말차 몽블랑
S200594,레몬 몽블랑
S200595,몽글푸딩
S200596,블루베리 몽글푸딩
S200597,흑당 몽글푸딩
S200600,초코칩 버터스콘
S200601,플레인 버터스콘
S200602,더블초코칩 르뱅쿠키
S200603,오레오스모어 쿠키
S200604,초코 휘낭시에
S200605,플레인 휘낭시에
S200606,쇼콜라 크로칸슈
000194,디카페인 2샷추가
000221,자색 고구마라떼(ICE)
000252,커스터드 크로칸슈
000254,말차가또
000290,수제 대추생강차(HOT)
000305,(행사)복숭아아이스티
000309,석류유자에이드
000238,꿀약과
000132,통망고 빙수
000150,모리커피텀블러(16oz)
000163,아메리카노(3개)
000171,아이스크림 추가
000212,티라미수 케이크
000214,초코쿠키
000226,민트 초코 프라페
000275,스크램볼 에그&치즈 포카치아 
000296,레드벨벳크림치즈 르뱅쿠키
000426,말렌카허니 케이크
000428,레몬얼그레이스콘
000433,텍사스 화이트칩
000024,카라멜마끼아또(ICE)
000106,아메리카노(L)
000127,(미니)초코라떼
000141,디카페인 샷추가
000173,리터두유변경
000195,기본(우유)
000196,시럽3번추가
000206,냉율무(보틀)
000210,플레인 요거트 스무디
000213,미니쿠키
000215,꿀약과세트
000232,녹차버블티
000233,수제청 청귤차(ICE)
000239,오란다
000246,티니핑주스(딸기)
000260,미니초코 프레첼
000286,앙버터1박스(20알)
000293,꿀약과(1개)
000306,(행사)석류아이스티
000310,생크림추가
000311,(행사)복숭아아이스티(L)
000312,(행사)석류아이스티(L)
000325,체다치즈쿠키
000342,콜드부르 돌체라떼
000345,캔아메리카노+계란빵+약과
000435,트리플 초코 케이크
200659,디카페인 헤이즐넛 아메리카노
200664,제로 체리콕
200674,파네토네
200702,닭가슴살 샐러드
500020,로얄크랩
S000032,초코라떼
S000060,블루베리주스
S000086,리터샌드(햄치즈)
